provider,sample,source,emotion,alpha,duration,rms,peak,lufs,f0_mean,f0_std,spec_centroid,spec_rolloff,zcr,sync_c,sync_d,nat_sync_c,nat_sync_d,filepath
indextts2_int_happy_a1.0,13,r3,happy,1.0,5.7702,0.086094,0.6799,-20.67,399.2,121.8,1827.0,3596.0,0.121471,7.776,7.023,4.396,8.761,tmp/indextts2_emo_intensity/13_happy_1.0.wav
indextts2_int_calm_a0.3,1,r3,calm,0.3,5.7237,0.013913,0.0851,-36.97,207.0,81.6,1698.0,3386.0,0.105343,6.111,8.0,4.574,8.621,tmp/indextts2_emo_intensity/1_calm_0.3.wav
indextts2_int_calm_a0.6,1,r3,calm,0.6,5.9211,0.015918,0.099,-35.84,234.4,66.5,1713.0,3345.0,0.109073,5.866,8.025,4.643,8.604,tmp/indextts2_emo_intensity/1_calm_0.6.wav
indextts2_int_calm_a1.0,1,r3,calm,1.0,5.4916,0.019624,0.1487,-33.84,229.7,87.6,1670.0,3329.0,0.093727,6.797,7.242,4.755,8.594,tmp/indextts2_emo_intensity/1_calm_1.0.wav
indextts2_int_happy_a0.3,1,r3,happy,0.3,5.6889,0.014105,0.0942,-37.19,230.1,62.6,1627.0,3226.0,0.097777,6.468,7.453,4.663,8.596,tmp/indextts2_emo_intensity/1_happy_0.3.wav
indextts2_int_happy_a0.6,1,r3,happy,0.6,5.6309,0.019756,0.1253,-33.67,247.2,77.9,1712.0,3369.0,0.107749,6.467,7.652,4.597,8.782,tmp/indextts2_emo_intensity/1_happy_0.6.wav
indextts2_int_happy_a1.0,1,r3,happy,1.0,4.9923,0.058275,0.5419,-23.49,366.9,131.7,2123.0,3881.0,0.141763,6.062,7.995,4.692,8.553,tmp/indextts2_emo_intensity/1_happy_1.0.wav
indextts2_int_calm_a0.3,7,r3,calm,0.3,6.1417,0.016693,0.0942,-36.81,230.5,59.5,1286.0,2599.0,0.065163,7.273,7.52,6.509,7.293,tmp/indextts2_emo_intensity/7_calm_0.3.wav
indextts2_int_calm_a0.6,7,r3,calm,0.6,5.8399,0.023234,0.1375,-35.07,248.0,24.1,1210.0,2418.0,0.065323,7.404,7.429,6.487,7.29,tmp/indextts2_emo_intensity/7_calm_0.6.wav
indextts2_int_calm_a1.0,7,r3,calm,1.0,5.6425,0.026246,0.1808,-32.13,265.7,33.1,1221.0,2407.0,0.064837,8.063,6.962,6.515,7.277,tmp/indextts2_emo_intensity/7_calm_1.0.wav
indextts2_int_happy_a0.3,7,r3,happy,0.3,5.9676,0.01753,0.0986,-36.01,239.1,54.8,1252.0,2451.0,0.067103,7.258,7.376,6.586,7.265,tmp/indextts2_emo_intensity/7_happy_0.3.wav
indextts2_int_happy_a0.6,7,r3,happy,0.6,5.805,0.022009,0.1414,-33.73,256.7,64.2,1290.0,2470.0,0.0709,7.991,6.764,6.618,7.243,tmp/indextts2_emo_intensity/7_happy_0.6.wav
indextts2_int_happy_a1.0,7,r3,happy,1.0,4.7717,0.051922,0.3795,-24.93,457.5,80.6,1835.0,3488.0,0.119342,6.69,7.385,6.462,7.374,tmp/indextts2_emo_intensity/7_happy_1.0.wav
indextts2_emo_afraid,10,r3,afraid,,6.4204,0.044442,0.5851,-25.08,379.2,112.9,1669.0,3128.0,0.103542,5.487,7.532,5.766,7.93,tmp/indextts2_emo_sweep/10_afraid.wav
indextts2_emo_angry,10,r3,angry,,4.8646,0.082812,0.8609,-18.98,321.7,141.9,1708.0,3129.0,0.114248,7.546,6.593,5.436,8.119,tmp/indextts2_emo_sweep/10_angry.wav
indextts2_emo_calm,10,r3,calm,,5.7005,0.012439,0.0817,-37.8,196.9,57.7,1529.0,2782.0,0.104659,6.625,7.124,5.532,7.923,tmp/indextts2_emo_sweep/10_calm.wav
indextts2_emo_disgusted,10,r3,disgusted,,5.2013,0.035358,0.3303,-28.47,336.1,81.9,1618.0,2940.0,0.107958,6.524,7.679,5.484,8.037,tmp/indextts2_emo_sweep/10_disgusted.wav
indextts2_emo_happy,10,r3,happy,,4.9691,0.069965,0.7497,-22.08,401.9,97.4,2024.0,3663.0,0.143517,6.631,7.758,5.746,7.931,tmp/indextts2_emo_sweep/10_happy.wav
indextts2_emo_melancholic,10,r3,melancholic,,7.5581,0.009837,0.0838,-39.39,158.8,86.3,1729.0,3284.0,0.107445,5.143,7.355,5.59,7.936,tmp/indextts2_emo_sweep/10_melancholic.wav
indextts2_emo_sad,10,r3,sad,,6.223,0.050683,0.6846,-24.23,380.8,118.2,1564.0,2990.0,0.091602,5.7,8.057,5.366,8.033,tmp/indextts2_emo_sweep/10_sad.wav
indextts2_emo_surprised,10,r3,surprised,,5.062,0.033081,0.2707,-29.12,335.6,86.4,1556.0,2847.0,0.105208,6.201,7.976,5.812,7.774,tmp/indextts2_emo_sweep/10_surprised.wav
indextts2_emo_afraid,13,r3,afraid,,7.3608,0.035579,0.2696,-27.61,386.3,117.4,1749.0,3513.0,0.098726,6.37,6.796,4.478,8.668,tmp/indextts2_emo_sweep/13_afraid.wav
indextts2_emo_angry,13,r3,angry,,5.8282,0.06093,0.7132,-22.79,332.1,123.8,1784.0,3501.0,0.120219,9.089,5.824,4.554,8.512,tmp/indextts2_emo_sweep/13_angry.wav
indextts2_emo_calm,13,r3,calm,,5.6657,0.032261,0.2777,-29.16,249.2,111.0,1715.0,3411.0,0.105249,9.385,6.238,4.358,8.704,tmp/indextts2_emo_sweep/13_calm.wav
indextts2_emo_disgusted,13,r3,disgusted,,6.699,0.027363,0.1836,-30.82,309.4,129.2,1547.0,2974.0,0.097142,8.481,6.687,4.332,8.728,tmp/indextts2_emo_sweep/13_disgusted.wav
indextts2_emo_happy,13,r3,happy,,5.9908,0.099179,0.8507,-19.14,417.6,132.7,1869.0,3486.0,0.135514,7.783,6.796,4.489,8.537,tmp/indextts2_emo_sweep/13_happy.wav
indextts2_emo_melancholic,13,r3,melancholic,,8.2199,0.007232,0.0708,-41.91,179.3,80.5,1645.0,3209.0,0.087957,5.585,7.308,4.468,8.721,tmp/indextts2_emo_sweep/13_melancholic.wav
indextts2_emo_sad,13,r3,sad,,7.4884,0.034111,0.2717,-27.28,383.3,126.6,1854.0,3658.0,0.116597,6.461,6.557,4.432,8.691,tmp/indextts2_emo_sweep/13_sad.wav
indextts2_emo_surprised,13,r3,surprised,,5.5032,0.043771,0.3062,-26.29,332.9,136.8,1732.0,3316.0,0.119121,8.618,6.456,4.415,8.687,tmp/indextts2_emo_sweep/13_surprised.wav
indextts2_emo_afraid,1,r3,afraid,,6.9428,0.027175,0.2978,-29.01,328.8,149.0,1730.0,3338.0,0.104791,4.611,7.669,4.623,8.683,tmp/indextts2_emo_sweep/1_afraid.wav
indextts2_emo_angry,1,r3,angry,,5.1897,0.063168,0.5899,-22.34,370.0,137.4,2237.0,3998.0,0.162202,6.985,7.547,4.811,8.526,tmp/indextts2_emo_sweep/1_angry.wav
indextts2_emo_calm,1,r3,calm,,5.7818,0.020292,0.1142,-33.35,229.5,88.9,1665.0,3207.0,0.095959,6.388,7.74,4.527,8.642,tmp/indextts2_emo_sweep/1_calm.wav
indextts2_emo_disgusted,1,r3,disgusted,,5.8631,0.039496,0.5079,-27.38,304.1,137.5,1904.0,3622.0,0.123134,5.943,7.836,4.571,8.552,tmp/indextts2_emo_sweep/1_disgusted.wav
indextts2_emo_happy,1,r3,happy,,4.8066,0.054833,0.6685,-23.75,409.9,77.5,2101.0,3873.0,0.14726,5.496,8.411,4.687,8.543,tmp/indextts2_emo_sweep/1_happy.wav
indextts2_emo_melancholic,1,r3,melancholic,,6.6061,0.010135,0.072,-39.0,163.1,88.7,1706.0,3364.0,0.087985,5.517,7.586,4.478,8.715,tmp/indextts2_emo_sweep/1_melancholic.wav
indextts2_emo_sad,1,r3,sad,,6.7686,0.03987,0.4011,-25.16,385.0,140.6,1853.0,3568.0,0.105565,5.004,7.819,4.763,8.506,tmp/indextts2_emo_sweep/1_sad.wav
indextts2_emo_surprised,1,r3,surprised,,4.9459,0.068503,0.6331,-22.11,354.4,151.7,2105.0,3782.0,0.150532,5.653,8.612,4.714,8.543,tmp/indextts2_emo_sweep/1_surprised.wav
indextts2_emo_afraid,4,r3,afraid,,5.4916,0.032502,0.1866,-30.14,349.1,54.9,1479.0,3029.0,0.078897,5.214,9.67,5.462,9.155,tmp/indextts2_emo_sweep/4_afraid.wav
indextts2_emo_angry,4,r3,angry,,5.329,0.05033,0.7231,-24.92,290.3,119.4,1549.0,3119.0,0.092478,7.875,7.746,5.198,9.288,tmp/indextts2_emo_sweep/4_angry.wav
indextts2_emo_calm,4,r3,calm,,5.9443,0.015596,0.0803,-38.19,206.7,61.6,1432.0,2821.0,0.069402,7.072,8.164,5.57,9.043,tmp/indextts2_emo_sweep/4_calm.wav
indextts2_emo_disgusted,4,r3,disgusted,,5.0504,0.036833,0.2734,-28.41,374.8,68.3,1495.0,2875.0,0.095261,7.234,8.167,5.194,9.367,tmp/indextts2_emo_sweep/4_disgusted.wav
indextts2_emo_happy,4,r3,happy,,5.2013,0.076169,0.8236,-21.49,434.6,79.5,1787.0,3276.0,0.128241,6.423,8.646,5.311,9.333,tmp/indextts2_emo_sweep/4_happy.wav
indextts2_emo_melancholic,4,r3,melancholic,,6.9079,0.012356,0.0625,-39.82,214.0,45.4,1399.0,2773.0,0.064862,4.89,9.122,5.308,9.242,tmp/indextts2_emo_sweep/4_melancholic.wav
indextts2_emo_sad,4,r3,sad,,6.6642,0.036875,0.4137,-27.58,310.8,144.7,1417.0,2743.0,0.073541,5.122,8.806,5.279,9.331,tmp/indextts2_emo_sweep/4_sad.wav
indextts2_emo_surprised,4,r3,surprised,,4.9111,0.031007,0.197,-30.05,364.2,67.0,1475.0,2930.0,0.083924,7.566,7.764,5.551,9.02,tmp/indextts2_emo_sweep/4_surprised.wav
indextts2_emo_afraid,7,r3,afraid,,5.6425,0.031972,0.2945,-29.08,368.2,121.2,1570.0,3100.0,0.07303,5.45,7.219,6.611,7.239,tmp/indextts2_emo_sweep/7_afraid.wav
indextts2_emo_angry,7,r3,angry,,5.6076,0.042282,0.4119,-26.81,318.5,61.4,1396.0,2855.0,0.079942,9.048,6.339,6.318,7.343,tmp/indextts2_emo_sweep/7_angry.wav
indextts2_emo_calm,7,r3,calm,,5.4219,0.025686,0.1557,-32.22,266.2,30.4,1269.0,2568.0,0.067104,8.44,6.542,6.56,7.262,tmp/indextts2_emo_sweep/7_calm.wav
indextts2_emo_disgusted,7,r3,disgusted,,5.7005,0.042635,0.2801,-27.03,363.1,68.9,1471.0,2785.0,0.094566,6.222,7.65,6.608,7.217,tmp/indextts2_emo_sweep/7_disgusted.wav
indextts2_emo_happy,7,r3,happy,,4.7717,0.053846,0.3485,-24.78,401.2,134.6,1724.0,3340.0,0.108743,6.793,7.572,6.447,7.314,tmp/indextts2_emo_sweep/7_happy.wav
indextts2_emo_melancholic,7,r3,melancholic,,7.3608,0.010401,0.0638,-41.94,187.4,73.6,1323.0,2491.0,0.063789,5.033,7.7,6.359,7.414,tmp/indextts2_emo_sweep/7_melancholic.wav
indextts2_emo_sad,7,r3,sad,,5.9095,0.024047,0.2054,-31.66,402.2,73.2,1714.0,3364.0,0.096352,4.828,7.826,6.547,7.246,tmp/indextts2_emo_sweep/7_sad.wav
indextts2_emo_surprised,7,r3,surprised,,4.6324,0.038417,0.2515,-28.16,368.3,78.4,1520.0,2974.0,0.090955,7.327,7.025,6.474,7.301,tmp/indextts2_emo_sweep/7_surprised.wav
indextts2_baseline,1,r3,,,5.7818,0.013204,0.0862,-37.64,214.9,67.9,1657.0,3283.0,0.101554,5.978,7.708,4.767,8.566,tmp/indextts2_output/1.wav
indextts2_baseline,10,r3,,,5.9908,0.015213,0.102,-36.87,216.1,60.6,1426.0,2644.0,0.096059,6.229,7.475,5.429,8.093,tmp/indextts2_output/10.wav
indextts2_baseline,11,r3,,,7.0473,0.018263,0.1353,-34.57,228.6,55.8,1352.0,2647.0,0.083887,6.952,7.687,5.916,7.986,tmp/indextts2_output/11.wav
indextts2_baseline,12,r3,,,7.5465,0.015941,0.0838,-37.33,248.2,23.3,1209.0,2424.0,0.061997,6.495,8.391,7.186,7.052,tmp/indextts2_output/12.wav
indextts2_baseline,13,r3,,,7.3608,0.011831,0.0731,-38.8,223.0,47.5,1428.0,2813.0,0.085037,7.614,7.009,4.488,8.528,tmp/indextts2_output/13.wav
indextts2_baseline,2,r3,,,5.1433,0.01504,0.0718,-36.42,209.4,73.0,1411.0,2847.0,0.082701,7.902,6.602,5.249,8.86,tmp/indextts2_output/2.wav
indextts2_baseline,3,r3,,,5.4683,0.008969,0.0593,-40.56,216.0,64.1,1776.0,3486.0,0.125728,6.958,7.081,6.217,7.745,tmp/indextts2_output/3.wav
indextts2_baseline,4,r3,,,6.223,0.015039,0.0695,-38.21,236.0,16.9,1332.0,2674.0,0.063522,6.272,9.07,5.307,9.263,tmp/indextts2_output/4.wav
indextts2_baseline,5,r3,,,6.4088,0.010363,0.0747,-40.58,246.0,45.4,1313.0,2597.0,0.072951,7.209,7.467,5.321,8.08,tmp/indextts2_output/5.wav
indextts2_baseline,6,r3,,,6.0837,0.011559,0.0786,-38.86,219.1,66.0,1283.0,2457.0,0.077166,6.635,8.146,5.377,8.516,tmp/indextts2_output/6.wav
indextts2_baseline,7,r3,,,5.7818,0.016524,0.0954,-37.18,242.5,25.9,1250.0,2485.0,0.066064,6.907,7.847,6.468,7.325,tmp/indextts2_output/7.wav
indextts2_baseline,8,r3,,,5.6889,0.019724,0.1202,-35.49,245.9,25.0,1243.0,2463.0,0.060053,6.625,7.687,5.862,8.257,tmp/indextts2_output/8.wav
indextts2_baseline,9,r3,,,5.329,0.014661,0.094,-37.49,202.0,79.9,1281.0,2647.0,0.067971,5.704,8.178,6.371,6.855,tmp/indextts2_output/9.wav
dashscope_vc,1,r2,,,5.04,0.040973,0.2471,-27.63,231.4,17.6,2139.0,3962.0,0.163213,7.013,7.608,4.552,8.746,tmp/r2_tts/dashscope_vc/1.wav
dashscope_vc,10,r2,,,5.6,0.060466,0.3642,-24.57,228.5,20.7,1544.0,3038.0,0.102212,7.339,6.699,5.551,8.124,tmp/r2_tts/dashscope_vc/10.wav
dashscope_vc,11,r2,,,6.8,0.056614,0.3966,-25.27,237.5,25.5,1334.0,2654.0,0.074249,7.255,7.603,5.941,7.968,tmp/r2_tts/dashscope_vc/11.wav
dashscope_vc,12,r2,,,6.96,0.043924,0.2833,-27.18,226.5,15.7,1871.0,3434.0,0.153594,9.105,6.308,7.162,7.074,tmp/r2_tts/dashscope_vc/12.wav
dashscope_vc,13,r2,,,5.84,0.04909,0.2953,-26.46,224.0,21.1,1891.0,3631.0,0.146159,6.071,8.959,4.263,8.732,tmp/r2_tts/dashscope_vc/13.wav
dashscope_vc,2,r2,,,4.8,0.059201,0.3688,-24.93,218.1,54.5,1486.0,3006.0,0.0811,8.162,7.577,5.525,8.569,tmp/r2_tts/dashscope_vc/2.wav
dashscope_vc,3,r2,,,4.32,0.035251,0.3065,-30.02,231.8,20.3,2150.0,3890.0,0.182757,8.836,6.357,6.473,7.555,tmp/r2_tts/dashscope_vc/3.wav
dashscope_vc,4,r2,,,5.36,0.027369,0.1466,-31.45,225.8,17.5,1896.0,3621.0,0.13941,6.776,8.751,5.548,9.142,tmp/r2_tts/dashscope_vc/4.wav
dashscope_vc,5,r2,,,5.12,0.037972,0.2849,-28.6,229.6,19.6,1786.0,3400.0,0.138514,7.724,7.95,5.225,8.299,tmp/r2_tts/dashscope_vc/5.wav
