run_id,provider,sample,condition,sync_c,sync_d,src_round
r2_dashscope_vc_20260707T143930Z,dashscope_vc,7,natural_raw,6.504,7.284,r2
r2_dashscope_vc_20260707T143930Z,dashscope_vc,7,tts_raw,7.361,8.111,r2
r2_dashscope_vc_20260707T143930Z,dashscope_vc,8,natural_raw,5.839,8.318,r2
r2_dashscope_vc_20260707T143930Z,dashscope_vc,8,tts_raw,6.46,7.822,r2
r2_dashscope_vc_20260707T143930Z,dashscope_vc,9,natural_raw,6.518,6.863,r2
r2_dashscope_vc_20260707T143930Z,dashscope_vc,9,tts_raw,6.086,8.042,r2
r2_dashscope_vc_20260707T143930Z,dashscope_vc,10,natural_raw,5.551,8.124,r2
r2_dashscope_vc_20260707T143930Z,dashscope_vc,10,tts_raw,7.339,6.699,r2
r2_dashscope_vc_20260707T143930Z,dashscope_vc,11,natural_raw,5.941,7.968,r2
r2_dashscope_vc_20260707T143930Z,dashscope_vc,11,tts_raw,7.255,7.603,r2
r2_dashscope_vc_20260707T143930Z,dashscope_vc,12,natural_raw,7.162,7.074,r2
r2_dashscope_vc_20260707T143930Z,dashscope_vc,12,tts_raw,9.105,6.308,r2
r2_dashscope_vc_20260707T143930Z,dashscope_vc,13,natural_raw,4.263,8.732,r2
r2_dashscope_vc_20260707T143930Z,dashscope_vc,13,tts_raw,6.071,8.959,r2
r4_bothnorm_emo_afraid,emo_afraid_bothnorm,1,tts_raw,3.854,7.859,r4
r4_bothnorm_emo_afraid,emo_afraid_bothnorm,4,tts_raw,4.138,10.03,r4
r4_bothnorm_emo_afraid,emo_afraid_bothnorm,7,tts_raw,4.17,8.299,r4
r4_bothnorm_emo_afraid,emo_afraid_bothnorm,10,tts_raw,4.345,8.137,r4
r4_bothnorm_emo_afraid,emo_afraid_bothnorm,13,tts_raw,5.293,7.576,r4
r4_durnorm_emo_afraid,emo_afraid_durnorm,1,tts_raw,3.763,7.826,r4
r4_durnorm_emo_afraid,emo_afraid_durnorm,4,tts_raw,3.701,10.264,r4
r4_durnorm_emo_afraid,emo_afraid_durnorm,7,tts_raw,3.633,8.311,r4
r4_durnorm_emo_afraid,emo_afraid_durnorm,10,tts_raw,4.47,7.872,r4
r4_durnorm_emo_afraid,emo_afraid_durnorm,13,tts_raw,5.327,7.322,r4
r4_loudnorm_emo_afraid,emo_afraid_loudnorm,1,tts_raw,3.845,7.912,r4
r4_loudnorm_emo_afraid,emo_afraid_loudnorm,4,tts_raw,3.994,10.194,r4
r4_loudnorm_emo_afraid,emo_afraid_loudnorm,7,tts_raw,4.238,8.227,r4
r4_loudnorm_emo_afraid,emo_afraid_loudnorm,10,tts_raw,4.255,8.098,r4
r4_loudnorm_emo_afraid,emo_afraid_loudnorm,13,tts_raw,5.321,7.496,r4
r4_bothnorm_emo_angry,emo_angry_bothnorm,1,tts_raw,5.648,7.883,r4
r4_bothnorm_emo_angry,emo_angry_bothnorm,4,tts_raw,7.81,7.333,r4
r4_bothnorm_emo_angry,emo_angry_bothnorm,7,tts_raw,7.476,7.171,r4
r4_bothnorm_emo_angry,emo_angry_bothnorm,10,tts_raw,6.748,7.034,r4
r4_bothnorm_emo_angry,emo_angry_bothnorm,13,tts_raw,7.636,6.938,r4
r4_durnorm_emo_angry,emo_angry_durnorm,1,tts_raw,5.631,7.974,r4
r4_durnorm_emo_angry,emo_angry_durnorm,4,tts_raw,7.042,8.055,r4
r4_durnorm_emo_angry,emo_angry_durnorm,7,tts_raw,7.405,7.132,r4
r4_durnorm_emo_angry,emo_angry_durnorm,10,tts_raw,6.776,6.983,r4
r4_durnorm_emo_angry,emo_angry_durnorm,13,tts_raw,7.912,6.786,r4
r4_loudnorm_emo_angry,emo_angry_loudnorm,1,tts_raw,5.841,7.782,r4
r4_loudnorm_emo_angry,emo_angry_loudnorm,4,tts_raw,7.6,7.52,r4
r4_loudnorm_emo_angry,emo_angry_loudnorm,7,tts_raw,7.557,7.197,r4
r4_loudnorm_emo_angry,emo_angry_loudnorm,10,tts_raw,6.563,7.039,r4
r4_loudnorm_emo_angry,emo_angry_loudnorm,13,tts_raw,7.651,6.925,r4
r4_bothnorm_emo_calm,emo_calm_bothnorm,1,tts_raw,5.618,7.804,r4
r4_bothnorm_emo_calm,emo_calm_bothnorm,4,tts_raw,7.077,7.94,r4
r4_bothnorm_emo_calm,emo_calm_bothnorm,7,tts_raw,7.643,7.429,r4
r4_bothnorm_emo_calm,emo_calm_bothnorm,10,tts_raw,6.995,7.148,r4
r4_bothnorm_emo_calm,emo_calm_bothnorm,13,tts_raw,7.763,7.394,r4
r4_durnorm_emo_calm,emo_calm_durnorm,1,tts_raw,5.423,7.811,r4
r4_durnorm_emo_calm,emo_calm_durnorm,4,tts_raw,6.46,8.27,r4
r4_durnorm_emo_calm,emo_calm_durnorm,7,tts_raw,7.815,6.703,r4
r4_durnorm_emo_calm,emo_calm_durnorm,10,tts_raw,6.177,7.067,r4
r4_durnorm_emo_calm,emo_calm_durnorm,13,tts_raw,7.265,7.739,r4
r4_loudnorm_emo_calm,emo_calm_loudnorm,1,tts_raw,5.557,7.937,r4
r4_loudnorm_emo_calm,emo_calm_loudnorm,4,tts_raw,7.102,7.937,r4
r4_loudnorm_emo_calm,emo_calm_loudnorm,7,tts_raw,7.826,7.334,r4
r4_loudnorm_emo_calm,emo_calm_loudnorm,10,tts_raw,6.899,7.217,r4
r4_loudnorm_emo_calm,emo_calm_loudnorm,13,tts_raw,7.543,7.552,r4
r4_bothnorm_emo_disgusted,emo_disgusted_bothnorm,1,tts_raw,5.95,7.477,r4
