provider,sample,run_id,src_round,emotion,alpha,norm_type,orig_provider,sync_c,sync_d,nat_sync_c,nat_sync_d,filepath,duration,rms,peak,lufs,lra,energy_env_std,energy_env_smoothness,silence_ratio,f0_mean,f0_std,f0_range,spec_centroid,spec_centroid_std,spec_rolloff,spec_bandwidth,spec_bandwidth_std,spec_flatness,spec_flatness_std,spec_flux,zcr_mean,zcr_std,onset_mean,onset_std,f1,f2,f3,hf_ratio,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
natural,1,natural,natural,,,,,,,,,data/data/audio/1.wav,5.7641,0.011582,0.0745,-38.9,,0.005181,0.001721,0.0,242.7,20.6,88.5,1679.0,973.0,3338.0,1754.0,445.0,0.014494,0.025479,0.0455,0.099102,0.090557,2.0184,1.682,431.3,1500.7,1785.9,0.4552,-419.8525085449219,96.36112213134766,82.43185424804688,47.560081481933594,12.22420883178711,37.49824142456055,27.70622444152832,26.204734802246094,0.6560459733009338,23.144899368286133,4.631083011627197,18.553573608398438,-4.986020565032959,14.130792617797852,-5.958299160003662,14.333998680114746,-9.462450981140137,12.591614723205566,7.878690242767334,10.247222900390625,-9.948792457580566,10.435276985168457,6.327881336212158,7.976336479187012,-1.2741683721542358,7.472878456115723
natural,10,natural,natural,,,,,,,,,data/data/audio/10.wav,5.8039,0.0135,0.0745,-37.83,,0.005616,0.002245,0.0,240.9,48.9,385.7,1486.0,967.0,2808.0,1560.0,516.0,0.012729,0.026361,0.0502,0.096505,0.079667,2.0177,1.63,440.1,1301.0,2053.3,0.331,-416.1647033691406,102.17618560791016,94.43351745605469,47.263633728027344,1.5048670768737793,44.449668884277344,24.111459732055664,25.332735061645508,1.2357465028762817,20.02539825439453,-0.8893715143203735,17.99274253845215,-2.495337963104248,13.820225715637207,-3.859807014465332,11.780289649963379,-16.96479606628418,13.338701248168945,8.003035545349121,10.15424633026123,-7.689636707305908,10.361241340637207,5.137117385864258,8.665624618530273,0.10240525752305984,8.799311637878418
natural,11,natural,natural,,,,,,,,,data/data/audio/11.wav,7.9249,0.01459,0.1234,-36.67,4.48,0.007137,0.002297,0.0,242.0,19.8,106.4,1331.0,706.0,2624.0,1542.0,455.0,0.008262,0.016733,0.0492,0.075591,0.055863,1.9799,2.0581,463.6,1282.9,1929.4,0.2726,-428.6798400878906,104.1680679321289,97.64739990234375,45.1445426940918,8.403560638427734,38.248504638671875,24.423425674438477,26.060794830322266,-3.722534656524658,24.963218688964844,10.041015625,16.066184997558594,-3.8975980281829834,14.663426399230957,-8.625604629516602,16.77646827697754,-8.94165325164795,12.545564651489258,5.36018705368042,9.9283447265625,-4.53395414352417,9.941315650939941,8.045583724975586,8.95811939239502,-0.7577437162399292,7.124709606170654
natural,12,natural,natural,,,,,,,,,data/data/audio/12.wav,8.068,0.012048,0.0707,-39.26,1.23,0.004831,0.001599,0.0,234.0,95.3,502.8,1372.0,861.0,2720.0,1550.0,472.0,0.010233,0.022964,0.0451,0.076679,0.06796,2.0385,1.9205,507.7,1246.5,1983.8,0.3034,-427.2515869140625,100.86576080322266,97.51844787597656,45.6967658996582,2.6042282581329346,39.90338134765625,30.824230194091797,22.749065399169922,0.48526448011398315,20.235769271850586,1.385332703590393,15.810748100280762,-3.5106070041656494,14.126443862915039,-6.2677106857299805,12.313765525817871,-10.97671127319336,11.472329139709473,7.520071029663086,8.244379043579102,-5.085281848907471,9.033170700073242,7.764944076538086,8.406891822814941,2.2757351398468018,8.25497055053711
natural,13,natural,natural,,,,,,,,,data/data/audio/13.wav,7.12,0.010017,0.0469,-40.62,2.26,0.004346,0.001522,0.0,231.1,22.3,124.0,1475.0,854.0,3009.0,1723.0,474.0,0.012706,0.027455,0.0351,0.078981,0.06528,2.0605,2.2654,404.0,1232.9,2039.3,0.3621,-449.25335693359375,103.56683349609375,90.3796615600586,43.78676986694336,18.405071258544922,29.8001766204834,22.79147720336914,23.865373611450195,2.9833877086639404,20.665531158447266,10.364073753356934,16.33417320251465,-5.214017391204834,14.68034839630127,-11.629209518432617,15.115825653076172,-8.80848503112793,11.977791786193848,5.610896587371826,11.415560722351074,-10.138691902160645,11.143229484558105,9.304647445678711,7.539026737213135,-1.1561540365219116,7.806243419647217
natural,2,natural,natural,,,,,,,,,data/data/audio/2.wav,5.583,0.012973,0.0697,-37.95,,0.006095,0.002039,0.0,246.7,34.5,315.9,1462.0,828.0,2973.0,1657.0,468.0,0.012119,0.026535,0.0464,0.087037,0.068657,2.028,1.9483,431.8,1339.8,1998.1,0.3305,-423.517333984375,103.54425811767578,93.52554321289062,41.63498306274414,7.165687561035156,32.68755340576172,25.815345764160156,24.976224899291992,3.7012081146240234,23.068710327148438,3.0678915977478027,16.54389762878418,-4.872308254241943,13.760429382324219,-10.146724700927734,15.340654373168945,-10.472562789916992,11.886488914489746,7.843946933746338,9.41544246673584,-9.02403450012207,10.698010444641113,4.875746726989746,7.245777606964111,0.12438932061195374,5.47184419631958
natural,3,natural,natural,,,,,,,,,data/data/audio/3.wav,5.237,0.008322,0.0601,-41.82,,0.003561,0.001224,0.0,229.1,19.7,99.5,1685.0,1007.0,3382.0,1802.0,483.0,0.020069,0.037143,0.0356,0.108214,0.088363,2.0217,1.7501,457.8,1434.9,1806.0,0.4776,-441.7442932128906,105.6093521118164,86.25138092041016,45.816986083984375,16.30039405822754,33.38168716430664,24.468130111694336,22.142982482910156,6.964663505554199,22.049320220947266,4.512676239013672,16.998191833496094,-8.399022102355957,15.398097038269043,-6.106509208679199,12.636667251586914,-9.76152229309082,13.460261344909668,8.01198959350586,8.359319686889648,-12.430805206298828,12.127188682556152,9.40204906463623,7.386996269226074,-1.5437090396881104,7.452754020690918
natural,4,natural,natural,,,,,,,,,data/data/audio/4.wav,6.126,0.011709,0.076,-40.86,2.15,0.004223,0.001581,0.0,217.6,50.2,282.5,1359.0,962.0,2820.0,1631.0,551.0,0.008495,0.017834,0.0356,0.069196,0.059417,2.1103,2.05,470.3,1433.9,2237.1,0.3072,-450.0292053222656,82.32951354980469,96.4283447265625,46.39548110961914,18.973493576049805,28.789045333862305,28.291471481323242,20.492618560791016,6.075711727142334,21.817312240600586,2.286390542984009,15.845291137695312,-4.688812732696533,14.20334243774414,-9.667131423950195,11.867806434631348,-8.051675796508789,11.399131774902344,6.242502212524414,9.963579177856445,-11.697880744934082,9.448835372924805,5.757957458496094,7.632340431213379,2.499932289123535,6.868436336517334
natural,5,natural,natural,,,,,,,,,data/data/audio/5.wav,5.868,0.009396,0.0538,-41.81,,0.003709,0.001582,0.0,224.8,64.1,329.7,1321.0,838.0,2701.0,1620.0,514.0,0.01017,0.021515,0.0314,0.067993,0.051864,1.8982,1.6281,464.6,1386.1,2316.8,0.2916,-465.3212890625,93.7559814453125,99.16133117675781,47.59978103637695,29.163293838500977,31.5759220123291,35.800941467285156,29.889738082885742,2.4260785579681396,22.526607513427734,2.703209161758423,15.136387825012207,-1.6234933137893677,12.368536949157715,-6.979843616485596,13.166393280029297,-9.33846378326416,13.343013763427734,4.172938346862793,10.87914752960205,-9.579667091369629,11.37322998046875,0.3550736904144287,8.366691589355469,-2.3608896732330322,6.241382598876953
natural,6,natural,natural,,,,,,,,,data/data/audio/6.wav,6.3891,0.009077,0.0622,-41.27,2.33,0.004024,0.001544,0.0,217.6,59.6,294.2,1256.0,702.0,2484.0,1535.0,431.0,0.010462,0.023111,0.0317,0.070232,0.048068,2.007,2.3278,450.9,1215.5,1999.8,0.241,-462.0743103027344,100.81192016601562,105.57536315917969,44.93403625488281,13.97375774383545,31.570138931274414,29.09661293029785,27.577211380004883,3.0090548992156982,20.838497161865234,4.003319263458252,15.625060081481934,-4.635470867156982,15.274418830871582,-5.67489767074585,12.490506172180176,-12.921749114990234,12.588753700256348,8.823081970214844,10.055365562438965,-6.969261646270752,12.52741527557373,5.586137771606445,7.862110137939453,-1.0348925590515137,7.356637001037598
